*rse  [safe: not_safe=0.317, safe=0.683]
*rsehole  [safe: not_safe=0.148, safe=0.852]
0ral seks  [safe: not_safe=0.500, safe=0.500]
0ral sex  [safe: not_safe=0.247, safe=0.753]
0rg@sm  [safe: not_safe=0.022, safe=0.978]
0rgasms  [safe: not_safe=0.016, safe=0.984]
3jakulating  [safe: not_safe=0.016, safe=0.984]
4r5e  [safe: not_safe=0.295, safe=0.705]
4r5ed  [safe: not_safe=0.431, safe=0.569]
4r5es  [safe: not_safe=0.230, safe=0.770]
4skin  [safe: not_safe=0.227, safe=0.773]
5h17  [safe: not_safe=0.040, safe=0.960]
5h1t  [safe: not_safe=0.055, safe=0.945]
5kank  [safe: not_safe=0.151, safe=0.849]
@55  [safe: not_safe=0.013, safe=0.987]
@ss  [safe: not_safe=0.030, safe=0.970]
@ssfcker  [safe: not_safe=0.011, safe=0.989]
@ssfucker  [safe: not_safe=0.007, safe=0.993]
@ssfvcker  [safe: not_safe=0.011, safe=0.989]
@sshole  [safe: not_safe=0.015, safe=0.985]
Affenarsch  [safe: not_safe=0.072, safe=0.928]
Arschloch  [safe: not_safe=0.167, safe=0.833]
BJ  [safe: not_safe=0.086, safe=0.914]
Blödmann  [safe: not_safe=0.185, safe=0.815]
Camel jockey  [safe: not_safe=0.007, safe=0.993]
Doof  [not safe: not_safe=0.866, safe=0.134]
Dreck  [safe: not_safe=0.183, safe=0.817]
Drecksau  [safe: not_safe=0.159, safe=0.841]
Fckk  [safe: not_safe=0.646, safe=0.354]
Ferkel  [safe: not_safe=0.005, safe=0.995]
Fick  [safe: not_safe=0.167, safe=0.833]
Fick dich  [not safe: not_safe=0.996, safe=0.004]
Fiesling  [safe: not_safe=0.143, safe=0.857]
Flachwichser  [safe: not_safe=0.052, safe=0.948]
Fotze  [safe: not_safe=0.023, safe=0.977]
Fuck  [not safe: not_safe=0.995, safe=0.005]
Hure  [safe: not_safe=0.320, safe=0.680]
Hurensohn  [safe: not_safe=0.007, safe=0.993]
Idiot  [safe: not_safe=0.018, safe=0.982]
Jack off  [not safe: not_safe=0.997, safe=0.003]
Kacke  [safe: not_safe=0.767, safe=0.233]
Kackstelze  [not safe: not_safe=0.851, safe=0.149]
MALPT  [safe: not_safe=0.006, safe=0.994]
MFer  [safe: not_safe=0.450, safe=0.550]
MFers  [safe: not_safe=0.055, safe=0.945]
Maul  [safe: not_safe=0.457, safe=0.543]
Mistkerl  [safe: not_safe=0.283, safe=0.717]
Mutterficker  [safe: not_safe=0.080, safe=0.920]
Mutterfotze  [safe: not_safe=0.053, safe=0.947]
Neger  [safe: not_safe=0.640, safe=0.360]
Penis  [not safe: not_safe=0.957, safe=0.043]
Penner  [safe: not_safe=0.139, safe=0.861]
Phukking  [safe: not_safe=0.012, safe=0.988]
Pisser  [safe: not_safe=0.319, safe=0.681]
S&M  [safe: not_safe=0.010, safe=0.990]
Sackgesicht  [safe: not_safe=0.021, safe=0.979]
Scheiße  [not safe: not_safe=0.981, safe=0.019]
Schlampe  [not safe: not_safe=0.844, safe=0.156]
